Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-FL,FL-1,313900,276350,22467750,540550,2051000,7121000,2062000,89670000,1190400,1295700,2893500,244600
US,US-FL,FL-10,1013700,889500,72499750,1739775,6601000,22930000,6636000,288390000,3833200,4162050,9288750,787750
US,US-FL,FL-11,333400,293750,23788750,574575,2180100,7566000,2192000,95287500,1264900,1379025,3080250,259750
US,US-FL,FL-12,353700,311400,25251250,609025,2310700,8020000,2323500,100950000,1340800,1460700,3262500,275500
US,US-FL,FL-13,334400,294500,23860750,575975,2185000,7584000,2197000,95565000,1267800,1381725,3087750,260700
US,US-FL,FL-14,704700,618250,50430250,1209275,4588700,15932000,4612500,200310000,2662700,2894100,6457500,547100
US,US-FL,FL-15,338800,297750,24245000,582350,2209900,7671000,2221500,96532500,1282100,1394700,3115500,263600
US,US-FL,FL-16,414400,364500,29630250,712950,2705200,9389000,2719500,118222500,1569700,1708500,3815250,322750
US,US-FL,FL-17,336100,294950,23848750,576900,2188600,7596000,2200500,95625000,1269500,1381350,3088500,261500
US,US-FL,FL-18,455300,399700,32823750,781750,2967300,10305000,2982000,129495000,1721700,1870350,4170000,353350
US,US-FL,FL-19,427200,375900,30534000,735200,2789600,9684000,2804500,121882500,1618600,1762650,3935250,332500
US,US-FL,FL-2,256600,225750,18330250,441500,1675200,5814000,1684000,73260000,972100,1058175,2365500,199900
US,US-FL,FL-20,267100,234200,19225750,458050,1738400,6037000,1747500,75885000,1008700,1095825,2443500,207100
US,US-FL,FL-21,334100,294000,23926000,575025,2181800,7574000,2193500,95377500,1266100,1378350,3078750,260200
US,US-FL,FL-22,391700,344750,28028750,674250,2558100,8881000,2572000,111885000,1484800,1616550,3611250,305150
US,US-FL,FL-23,371200,326050,26623750,637725,2419900,8402000,2432500,105742500,1404400,1527450,3410250,288550
US,US-FL,FL-24,832600,730650,60033500,1429100,5423200,18847000,5451000,236925000,3149500,3418725,7623000,646100
US,US-FL,FL-25,328600,288050,23630250,563350,2138000,7424000,2149000,93367500,1240800,1347375,3006750,254900
US,US-FL,FL-26,597400,520400,43276500,1017875,3862600,13411000,3882000,168652500,2240200,2430225,5420250,460150
US,US-FL,FL-27,929100,813650,66944500,1591450,6040100,20983000,6070000,263572500,3505400,3803850,8478750,719600
US,US-FL,FL-3,357400,314550,25575250,615225,2334300,8104000,2347000,102067500,1354800,1474950,3295500,278400
US,US-FL,FL-4,535900,471550,38492750,922300,3500200,12155000,3518500,152947500,2031600,2209875,4932750,417100
US,US-FL,FL-5,199800,175500,14337750,343300,1302700,4523000,1309500,56925000,755900,822075,1836000,155350
US,US-FL,FL-6,629700,550900,45138000,1077500,4089600,14192000,4110000,178507500,2369700,2575950,5759250,488650
US,US-FL,FL-7,475300,417750,34025500,817075,3100100,10763000,3117000,135487500,1798800,1957575,4371750,369900
US,US-FL,FL-8,386300,340200,27615500,665350,2524500,8762000,2538000,110370000,1464700,1595550,3564000,301100
US,US-FL,FL-9,475800,417650,34073750,816850,3099500,10761000,3115500,135382500,1798600,1955400,4365000,369650
US,US-GA,GA-1,119500,105950,8455250,207200,785600,2725000,790500,34395000,455700,499575,1116750,93600
US,US-GA,GA-10,94500,83750,6690750,163825,621200,2155000,625000,27210000,360400,394950,883500,74150
US,US-GA,GA-11,143800,126950,10292750,248300,942000,3270000,947500,41182500,546600,596475,1331250,112250
US,US-GA,GA-12,81800,72550,5783500,141875,537900,1865000,541500,23565000,312100,342225,765750,64200
US,US-GA,GA-13,179400,159000,12731000,310975,1179000,4091000,1186500,51645000,684100,749325,1676250,140750
US,US-GA,GA-14,87900,77850,6220500,152300,577400,2002000,581000,25290000,334900,367050,821250,68950
US,US-GA,GA-2,89000,78750,6300750,154025,584000,2025000,587500,25567500,338700,371025,829500,69700
US,US-GA,GA-3,101100,89650,7149750,175350,664700,2306000,669000,29137500,385700,422850,946500,79400
US,US-GA,GA-4,130600,115500,9306250,225875,856700,2973000,862000,37462500,497000,543300,1213500,102150
US,US-GA,GA-5,419900,372450,29728000,728500,2762200,9580000,2780000,120960000,1602100,1757100,3931500,329350
US,US-GA,GA-6,587800,516550,42355000,1010275,3834600,13322000,3854000,167377500,2225900,2418450,5389500,456550
US,US-GA,GA-7,223300,196850,15986750,385050,1461000,5073000,1469000,63802500,848000,924000,2061000,174000
US,US-GA,GA-8,72000,63700,5092500,124600,472400,1638000,475500,20685000,274000,300225,671250,56400
